编号,大类,卡名,类型,费用(LV1/LV2),LV1效果,LV2效果,地形联动,核心定位,历史原型
T21,谋士,细作,兵种卡,1/1,对目标施加1层暴露（暴露：目标受到的下一次攻击伤害+30%，触发后消除）,对所有敌将施加1层暴露；若目标已有暴露则改为施加1层中毒代替,通用,暴露→中毒升级,三国情报战细作（司马懿/荀彧情报渗透）
T22,谋士,方士,兵种卡,1/1,我方主将回复6点HP并对随机一名敌将施加1层中毒,我方主将回复8点HP并对随机一名敌将施加1层中毒；若我方主将当前HP低于最大值50%，回复量改为12点,通用,回血+持续毒伤,汉末道家方士文化（黄巾起义/五斗米道）
T23,谋士,刺客,兵种卡,2/2,直击随机一名敌将造成9点伤害（无视兵种层）,直击生命值最低的敌将造成9点伤害（无视兵种层）；若目标HP低于30%，此伤害翻倍（18点）,通用,斩首专精,战国至三国刺客文化（典韦护卫/荆轲刺秦）
T24,谋士,舞女,兵种卡,1/1,对目标敌将施加1层迷乱（迷乱：目标本回合打出的下一张卡随机改变目标，触发后消除）,对目标敌将施加1层迷乱+1层减速；若目标已处于迷乱，改为对所有敌将施加1层减速,通用,行动干扰,三国宴席歌舞伎乐（貂蝉连环计文化背景）
T25,谋士,黄巾信徒,兵种卡,1/1,对目标施加1层动摇（目标下回合攻击力-30%，持续1回合）+1层中毒,对所有敌将施加1层动摇+1层中毒；若场上已有中毒目标，额外对中毒目标施加1层虚弱（受到伤害+20%，持续2回合）,通用,多Debuff叠加,汉末黄巾之乱狂热信徒（太平道宣教者）
T26,盾兵,盾兵（基础）,兵种卡,1/1,我方主将获得8点护盾,我方主将获得8点护盾+1层坚守,通用,护盾+坚守,制式盾兵
T27,盾兵,重甲盾兵,兵种卡,2/2,我方主将获得12点护盾+1层迟钝（迟钝：本回合无法再打出攻击类卡牌，但防御类卡牌费用-1）,我方主将获得16点护盾+1层迟钝；若我方主将已有护盾，不叠加迟钝（熟练后无副作用）,通用,高护盾+攻守代价,汉代重甲部队（曹魏对应步兵单位）
T28,盾兵,水兵,兵种卡,1/1,获得6点护盾；水域地形：改为获得10点护盾并清除我方1层迟缓,获得8点护盾并清除我方1层迟缓；水域地形：护盾改为14点并对所有敌将施加1层迟缓,水域（攻守逆转）,迟缓逆转,周瑜江东水军（赤壁之战主力）
T29,盾兵,壁垒工兵,兵种卡,2/2,我方主将获得10点护盾+1层坚守；山地地形：护盾改为15点，坚守改为2层,我方主将获得12点护盾+2层坚守；山地地形：护盾改为18点，本回合内所有防御类卡牌效果+30%,山地（超级防线）,山地超级盾,曹操屯田制半军事化工兵（山地要塞防守）
T30,盾兵,藤甲兵,兵种卡,1/1,我方主将获得10点护盾；护盾存续期间免疫灼烧伤害但护盾受到伤害+50%（灼烧以消耗护盾为代价）,我方主将获得12点护盾+1层坚守；护盾存续期间免疫灼烧伤害，护盾受到伤害+50%；山地地形：护盾改为16点,林地（灼烧免疫）/山地（最高护盾量）,林地灼烧免疫盾,三国演义乌戈国藤甲兵（七擒孟获）
