编号,卡名,职业/阵营,类型,稀有度,费用(LV1/LV2),LV1效果,LV2效果,是否移除(LV1/LV2),连击标签
078,断粮,通用,负面,常规,2/2,目标下回合伤害-20%,目标下回合伤害-30%,否/否,"施咒,减攻"
079,离间,通用,负面-控制,常规,3/3,敌方随机2个目标互相造成8伤害并各附1层虚弱,互伤提升至12并附1层虚弱,是/否,"施咒,互伤"
080,寒策,通用,负面-控制,常规,1/1,目标获得迟缓1层并抽1,目标获得迟缓1层，目标获得迟缓2层并抽1,否/否,"施咒,过牌"
081,反间文书,通用,负面-控制,常规,2/2,敌将获得命令失效1回合,敌将命令失效2回合,否/否,"施咒,封令"
082,疫雾,通用,负面,常规,3/3,敌方全体中毒1层,敌方全体中毒2层,否/否,"施咒,群体"
083,诈败诱敌,通用,负面-控制,常规,2/2,敌目标获得易伤2层并迟缓1层,易伤3层并迟缓1层,否/否,"施咒,控场"
084,心战,通用,负面,常规,2/2,目标攻击-15%若其已有负面再施加1层破甲,目标攻击-20%且若已有负面施加2层破甲,否/否,"施咒,条件联动"
085,缚马索,通用,负面-控制,常规,1/1,骑兵目标无法突击1回合,骑兵目标无法突击2回合,否/否,"施咒,反骑"
086,诡谋深算,通用,负面-战术,常规,2/2,本回合你每施加一种新负面返还1费上限1,返费上限提升为2,否/否,"施咒,资源"
087,连环负咒,通用,负面-攻击,常规,3/3,若目标已有2种负面则造成22伤害否则12伤害,若目标已有2种负面则造成22伤害否则12伤害，满足条件时造成28伤害否则14伤害,是/否,"施咒,终结"
088,衰志谣言,通用,负面,常规,1/1,目标获得虚弱1层并你抽1,目标获得虚弱1层，目标获得虚弱2层并你抽1,否/否,"施咒,过牌"
089,乱军鼓噪,通用,负面-控制,常规,2/2,敌方随机目标获得混乱并受到6伤害,随机目标混乱并受到10伤害,否/否,"施咒,干扰"
090,蚀甲毒雾,通用,负面,常规,2/2,目标获得中毒1层和破甲1层,目标获得中毒1层和破甲1层，目标获得中毒2层和破甲1层,否/否,"施咒,复合负面"
091,忍辱反击,通用,负面转收益,常规,1/1,若本回合抽到负面则对任意目标造成12伤害,若本回合抽到负面则对任意目标造成12伤害，触发后造成16伤害,否/否,"负面经营,反击"
092,借势用险,通用,负面转收益,常规,1/1,移除1张手中负面并抽2,移除1张手中负面，移除1张手中负面并抽3,否/否,"负面经营,过牌"
093,韬晦,通用,负面转收益-防御,常规,2/2,每持有1张负面获得4护甲最多20,每持有1张负面获得4护甲最多20，每张负面获得5护甲最多25,否/否,"负面经营,护甲"
094,逆用兵书,通用,负面转收益-战术,常规,2/1,若牌库负面≥5则本卡费用-1并抽2,若牌库负面≥5则本卡费用-1，阈值降为≥4且抽2,否/否,"负面经营,滤牌"
095,祸福相依,通用,负面转收益,常规,2/2,获得随机增益并将1张负面洗入牌库,获得随机增益，获得更高档随机增益并洗入1张负面,否/否,"负面经营,风险收益"
096,以毒攻毒,通用,负面转收益,常规,2/2,移除1张手中负面并给目标施加同类负面1层,同类负面提升至2层,否/否,"负面经营,转化"
097,枯木逢春,通用,负面转收益-恢复,常规,1/1,移除1张负面并恢复10生命,移除1张负面，移除1张负面并恢复14生命,否/否,"负面经营,续航"
098,破局,通用,负面转收益-攻击,常规,3/3,造成12伤害并每持有1张负面额外+3最多+18,造成12伤害并每持有1张负面额外+3最多+18；基础14每负面+4最多+24,是/否,"负面经营,爆发"
099,隐忍待发,通用,负面转收益-战术,常规,1/1,本回合若不打出负面下回合抽牌+2,本回合若不打出负面下回合抽牌+2，下回合抽牌+3,否/否,"负面经营,蓄势"
100,负薪前行,通用,负面转收益-战术,常规,0/0,向牌库加入1张负面并获得1点将令充能,向牌库加入1张负面，加入1张负面并获得1点将令且抽1,否/否,"负面经营,将令"
101,旧债清算,通用,负面转收益-攻击,常规,2/2,按本局净化负面数量对目标造成伤害每次净化+4,每次净化+5,否/否,"负面经营,结算"
102,危局掌控,通用,负面转收益-战术,常规,3/2,若牌库负面≥8我方全体本回合伤害+20%,若牌库负面≥8我方全体本回合伤害+20%；阈值降为≥7且伤害+25%,是/否,"负面经营,全体增益"
103,逆流而上,通用,负面转收益-防御,常规,1/1,本回合每获得1个负面就获得5护甲上限20,本回合每获得1个负面就获得5护甲上限20，每个负面获得6护甲上限24,否/否,"负面经营,受益"
104,险中夺机,通用,负面转收益-战术,常规,1/1,若你手牌有2张以上负面则抽2,若你手牌有2张以上负面则抽2，条件达成时抽3,否/否,"负面经营,过牌"
105,军纪整顿,通用,净化,常规,1/1,移除1张手牌负面,移除1张手牌负面，移除1张手牌负面并抽1,否/否,"净化,工具"
106,战地焚卷,通用,净化,常规,1/1,移除牌库中1张随机负面,移除牌库中2张随机负面,否/否,"净化,牌库"
107,疗养令,通用,净化-恢复,常规,2/2,净化1张负面并恢复12生命,净化1张负面，净化1张负面并恢复16生命,否/否,"净化,续航"
108,焚香静气,通用,净化-防御,常规,2/2,本回合免疫新负面,本回合与下回合首个新负面免疫,是/否,"净化,抗性"
109,洗练,通用,净化,常规,1/1,移除1张负面并抽1,移除1张负面，移除1张负面并抽2,否/否,"净化,过牌"
110,止谤,通用,净化-控制,常规,1/1,移除2层混乱或虚弱,移除3层混乱或虚弱,否/否,"净化,解控"
111,肃军法,通用,净化-战术,常规,2/2,移除1张负面并使你本回合攻击+15%,移除1张负面并使本回合攻击+20%,否/否,"净化,增伤"
112,清障行军,通用,净化-地形操控,常规,1/1,移除1张负面并将地形转平原,移除1张负面，移除1张负面并转平原且抽1,否/否,"净化,地形"
113,复命文书,通用,净化-将令,常规,1/1,移除1张负面并获得1点将令充能,移除1张负面，移除1张负面并获得1点将令且抽1,否/否,"净化,将令"
114,战后整备,通用,净化-兵种协同,常规,2/2,移除1张负面并恢复我方兵种8生命,移除1张负面，恢复兵种12生命,否/否,"净化,兵种续航"
115,连环突击,通用,攻击-近战,常规,2/2,对目标造成2次各8伤害并使用后移除,对目标造成2次各8伤害升级后改为2次各9伤害且不再移除,是/否,"近战,连击,移除机制变化"
116,疾影连射,通用,攻击-远程,常规,2/2,对任意目标进行2次各7伤害,对任意目标进行2次各7伤害升级后改为3次各7伤害,否/否,"远程,连击次数提升"
117,死战到底,通用,战术-防御,常规,1/1,获得8护甲并本回合每次受击反伤3持续2次,反伤次数提升至3次,否/否,"防御,反击次数"
118,重整旗鼓,通用,战术,常规,2/2,抽2弃1并重置1张1费牌,抽2弃1，抽2弃1并重置1张2费牌,否/否,"运营,重置"
119,火油罐投掷,通用,地形操控-负面,常规,2/2,目标获得1层灼烧并将地形转火地,目标获得1层灼烧，目标获得2层灼烧并转火地,否/否,"地形,施咒"
120,蓄势斩将,通用,攻击-近战,常规,3/2,若本回合已打出2张牌则对目标造成30伤害否则18,条件达成伤害34否则20,是/否,"近战,连段终结"
121,裂阵突击,通用,攻击-近战,常规,1/1,对目标造成11伤害并施加1层易伤,对目标造成11伤害，造成13伤害并施加1层易伤,否/否,"近战,易伤"
122,破军二段,通用,攻击-近战,常规,2/2,对目标造成2次各7伤害,对目标造成2次各7伤害2次各9伤害,否/否,"近战,多段"
123,破橹斩,通用,攻击-近战,常规,2/2,对目标造成15伤害若其有护甲额外+5,对目标造成15伤害若其有护甲额外+5；基础17且有护甲额外+6,否/否,"近战,反护甲"
124,迎头重锤,通用,攻击-近战,常规,3/2,对目标造成26伤害并使用后移除,对目标造成26伤害并使用后移除；费用-1且造成28伤害并不移除,是/否,"近战,重击,移除机制变化"
125,并进连砍,通用,攻击-近战,常规,2/2,本回合每已打出1张攻击牌本卡+4伤害,每已打出1张攻击牌本卡+5伤害,否/否,"近战,连段"
126,斩将夺势,通用,攻击-近战,常规,2/2,对敌将（可直击主将）造成18伤害,对敌将（可直击主将）造成18伤害，对敌将（可直击主将）造成22伤害,否/否,"近战,越位"
127,破锋连环,通用,攻击-近战,常规,1/1,对目标造成8伤害若其有负面再触发一次同伤害,对目标造成8伤害若其有负面再触发一次同伤害；基础10且连环触发条件不变,否/否,"近战,负面联动"
128,疾踏冲军,通用,攻击-近战,常规,0/0,仅可攻击目标造成7伤害,仅可攻击目标造成7伤害，造成9伤害,否/否,"近战,0费"
129,背水一击,通用,攻击-近战,常规,1/1,若你生命≤50%造成20伤害否则10,低血22高血12,否/否,"近战,残血联动"
130,断阵破旗,通用,攻击-近战,常规,3/3,对目标造成20伤害并使其攻击-15%1回合,对目标造成20伤害，造成24伤害并攻击-20%,是/否,"近战,控攻"
131,流星追矢,通用,攻击-远程,常规,1/1,对任意目标造成10伤害若其在后排额外+3,对任意目标造成10伤害若其在后排额外+3；基础12且后排额外+4,否/否,"远程,后排克制"
132,裂空重箭,通用,攻击-远程,常规,2/2,对任意目标造成16伤害,对任意目标造成19伤害,否/否,"远程,点杀"
133,散射箭幕,通用,攻击-远程,常规,2/2,随机敌方3次各5伤害,对目标随机敌方3次各6伤害,否/否,"远程,多段"
134,定军狙杀,通用,攻击-远程,常规,3/3,指定敌将（可直击主将）造成27伤害,指定敌将（可直击主将）造成27伤害，指定敌将（可直击主将）造成31伤害,是/否,"远程,斩首"
135,穿林箭,通用,攻击-远程,常规,1/1,地形为林地时造成16伤害否则11,林地20否则13,否/否,"远程,地形"
136,破盾箭,通用,攻击-远程,常规,2/2,造成12伤害并移除目标8点护甲,造成12伤害，造成14伤害并移除12点护甲,否/否,"远程,破甲"
137,飞羽压制,通用,攻击-远程,常规,2/2,目标造成8伤害并攻击-10%1回合,目标造成8伤害，目标造成10伤害并攻击-15%,否/否,"远程,压制"
138,连弩追击,通用,攻击-远程,常规,2/2,对任意目标造成2次各6伤害,对任意目标造成2次各6伤害升级后改为3次各6伤害,否/否,"远程,连击次数提升"
139,暴雨穿云,通用,攻击-远程,常规,3/3,敌方全体造成9伤害,敌方全体造成9伤害，敌方全体造成11伤害,是/否,"远程,群攻"
140,校射预判,通用,攻击-远程,常规,1/1,查看敌方下次行动并对任意目标造成9伤害,查看敌方下次行动，造成11伤害并抽1,否/否,"远程,信息"
141,稳阵举盾,通用,防御,常规,1/1,获得11护甲,获得14护甲,否/否,护甲
142,铁壁连环,通用,防御,常规,2/2,获得15护甲并在本回合第一次受击后再得5护甲,首次受击后再得8护甲,否/否,"护甲,连锁"
143,固守三军,通用,防御,常规,2/2,你和附属兵种各获得7护甲,你和附属兵种各获得7护甲，各获得9护甲,否/否,"群体防御,兵种"
144,反震壁垒,通用,防御,常规,1/1,获得8护甲并反伤5,获得8护甲，获得10护甲并反伤7,否/否,"护甲,反击"
145,重甲整列,通用,防御,常规,2/2,获得18护甲但本回合攻击伤害-10%,获得18护甲但本回合攻击伤害-10%，获得22护甲且攻击惩罚移除,否/否,"护甲,权衡"
146,死守营垒,通用,防御,常规,3/3,本回合受到伤害-35%并获得10护甲,本回合受到伤害-35%，伤害-45%并获得12护甲,是/否,"减伤,爆发防"
147,祛乱定心,通用,防御-净化,常规,1/1,移除1层混乱并获得7护甲,移除1层混乱，移除2层混乱并获得8护甲,否/否,"净化,护甲"
148,收兵稳线,通用,防御-兵种协同,常规,2/2,附属兵种恢复6生命并获得6护甲,附属兵种恢复6生命，恢复9生命并获得8护甲,否/否,兵种续航
149,韧阵回环,通用,防御,常规,1/1,获得9护甲若本回合受击2次以上抽1,获得9护甲若本回合受击2次以上抽1，获得11护甲并保持触发条件,否/否,"护甲,过牌"
150,军心护体,通用,防御-战术,常规,2/1,获得12护甲并抽1,获得12护甲并抽1；费用-1且获得13护甲并抽1,否/否,"护甲,过牌,降费"
151,战术换手,通用,战术,常规,1/1,弃1抽2,弃1抽2，弃1抽3,否/否,"过牌,滤牌"
152,奇兵调度,通用,战术-兵种协同,常规,2/2,若有存在附属兵种抽2否则抽1,若有存在附属兵种抽2否则抽1，有兵种抽3否则抽2,否/否,"兵种联动,过牌"
153,军略加注,通用,战术,常规,1/1,本回合下一张战术牌效果+30%,下一张战术牌效果+45%,否/否,"战术连携,增益"
154,战机捕捉,通用,战术,常规,1/1,若敌方有负面抽2否则抽1,若敌方有负面抽2否则抽1，有负面抽3否则抽1,否/否,"负面联动,过牌"
155,分进合击,通用,战术-攻击,常规,2/2,本回合你打出的第2张攻击牌额外触发一次50%伤害,额外触发60%伤害,否/否,"连段,复制"
156,调虎离山,通用,战术-控制,常规,2/2,使敌目标迟缓1并攻击-10%,迟缓2并攻击-10%,否/否,"控制,压制"
157,借东风,通用,战术-地形操控,常规,2/2,若当前为火地你抽2并使灼烧伤害+1层,若当前为火地你抽2，火地时抽3并灼烧+1层,否/否,"地形,灼烧联动"
158,应变军议,通用,战术,常规,0/0,发现三选一获得一张临时战术牌,发现三选一获得一张临时战术牌；改为发现四选一,否/否,"战术,发现"
159,临阵点将,通用,战术-将令,常规,1/1,获得1将令并使下一张兵种协同牌-1费,获得1将令，获得1将令并抽1,否/否,"将令,兵种联动"
160,统军疾令,通用,战术-将令,常规,2/2,立刻获得2点将令充能,立刻获得2点将令充能，获得2点将令并抽1,是/否,"将令,爆发"
161,步阵合围,通用,兵种协同,常规,1/1,若有步兵在场对敌目标造成13伤害并施加1层易伤,若有步兵在场对敌目标造成13伤害，造成15伤害并施加1层易伤,否/否,"步兵联动,控场"
162,枪骑并驱,通用,兵种协同,常规,2/2,若同时有枪兵与骑兵本回合两者伤害+20%,若同时有枪兵与骑兵本回合两者伤害+20%；加成提升至+28%,否/否,混编联动
163,弓手压制线,通用,兵种协同,常规,2/2,弓兵本回合首次攻击后使目标迟缓1层,弓兵本回合首次攻击后使目标迟缓1层；改为前两次攻击均施加迟缓1层,否/否,"弓兵联动,控制"
164,前锋换列,通用,兵种协同-战术,常规,1/1,重置1张兵种协同牌并抽1,重置1张兵种协同牌，可重置1张费用≤2兵种协同牌并抽1,否/否,"兵种联动,重置"
165,鼓角齐鸣,通用,兵种协同-将令,常规,1/1,若有2个以上兵种获得1将令,若有2个以上兵种获得1将令，若有2个以上兵种获得2将令,否/否,"兵种联动,将令"
166,整军再战,通用,兵种协同,常规,2/2,复活1个本战斗阵亡基础兵种为半血状态,复活1个本战斗阵亡基础兵种为半血状态，复活兵种并获得8护甲,是/是,"兵种联动,复活"
167,援护射击,通用,兵种协同-攻击,常规,1/1,附属兵种每有1单位本卡+3伤害基础8,每单位+4伤害基础9,否/否,"兵种联动,成长"
168,战线拉扯,通用,兵种协同-控制,常规,2/2,兵种本回合攻击时有50%概率施加虚弱1层,兵种本回合攻击时有50%概率施加虚弱1层；概率提升至70%,否/否,"兵种联动,施咒"
169,军粮补给,通用,兵种协同-恢复,常规,1/1,我方兵种各恢复7生命,我方兵种各恢复7生命，各恢复10生命,否/否,"兵种联动,续航"
170,兵符激发,通用,兵种协同-战术,常规,2/2,本回合兵种伤害+18%并获得6护甲,本回合兵种伤害+18%，伤害+24%并获得8护甲,否/否,"兵种联动,增益"
171,沙地掩杀,通用,地形操控-攻击,常规,2/2,地形转沙地并对任意目标造成14伤害,地形转沙地，转沙地并造成17伤害,否/否,"地形,点杀"
172,雨幕遮断,通用,地形操控-控制,常规,2/2,转雨地并使敌远程伤害-20%1回合,转雨地并使敌远程伤害-30%,否/否,"地形,反远程"
173,山隘据守,通用,地形操控-防御,常规,1/1,转山地并获得12护甲,转山地，转山地并获得16护甲,否/否,"地形,护甲"
174,林火伏燃,通用,地形操控-负面,常规,3/2,若当前林地则敌全体获得灼烧1层并转火地,林地时敌全体灼烧2层并转火地,是/否,"地形,灼烧"
175,河滩牵军,通用,地形操控-控制,常规,1/1,转浅水并使敌目标迟缓1层,转浅水并使敌目标迟缓2层,否/否,"地形,控制"
176,高坡布阵,通用,地形操控-兵种协同,常规,2/2,转高地并使弓兵本回合伤害+25%,转高地并使弓兵伤害+35%,否/否,"地形,弓兵联动"
177,逆风布火,通用,地形操控-战术,常规,2/2,转火地并抽1若目标有灼烧再抽1,转火地，转火地并抽1有灼烧再抽2,否/否,"地形,过牌"
