编号,名称,级别,历史职业背景,主要州郡,HP,护甲,兵种层,行动序列,速度,地形偏好
E045,猛虎将军,强力,有勇无谋的猛将，每回合爆发升级,冀州/凉州,90,8,步兵×5,B01→B14→C01→C12,11,平原
E046,算无遗策者,强力,改变地形天气的顶级谋士,各州通用,72,8,谋士×4,C05→B12→C06→B08,7,通用
E047,征虏将军,强力,获高阶军职的将领，可夺玩家卡牌,司州/冀州,80,15,步兵×4+骑兵×2,B01→C15→B14→C01,9,通用
E048,贼寇大将,强力,绿林势力的大头目，金钱掠夺王,荆州/益州山地,75,10,步兵×3,C04→B01→B16→C07,9,山地/森林
E049,水军都督,强力,江东水军最高指挥官，水域无敌,扬州/荆州水域,88,14,步兵×2+弓兵×3,C05→B02→C10→C01,8,水域
E050,草原单于,强力,草原部族大首领，召唤极端天气,幽州/并州,82,10,骑兵×5,C06→B01→C07→C09,12,平原/雪地
E051,阴鸷毒士,强力,最高阶的阴谋家，全面诅咒污染,各州通用,68,6,谋士×4,C11→B12→C14→B08,8,通用
E052,斗将狂人,强力,只追求一对一单挑的武痴，单体极强,各州通用,95,12,步兵×4,C01→B04→C16→C12,12,通用
E053,傀儡将领,强力,被阴谋家以毒药控制的高阶武将,各州通用,80,15,步兵×4+骑兵×2,C01→C01→B14→C17,10,通用
E054,铁壁守将,强力,防御极值武将，以护盾碾压玩家,关隘/城池,78,25,盾兵×4+步兵×2,B03→C13→C10→B03,5,关隘
E055,末路枭雄,强力,历史失败者的最后一战，爆发型狂人,各州通用,100,5,步兵×3,C12→C01→C16→C18,11,通用
