编号,名称,级别,职业,历史职业背景,主要州郡,HP,护甲,行动序列（主）,相变触发,地形联动,速度,action_params
E087,公孙重骑,精英,骑兵,幽州北疆精锐重骑，强冲击+震慑,幽州/并州平原,54,8,B01→B06→B14→B01,—,平原:攻击+4|雪地:速度-1,12,
E088,汝南死士,精英,步兵,各势力豢养的亡命死士，不惧重伤,豫州/司州,48,0,B17→B18→B04→B17,—,—,13,
E089,水贼头目,精英,步兵,荆州水贼帮主，偷财+多次突击,荆州水域,52,4,B15→B18→A13→B01,—,水域:攻击+2,10,
E090,瘟疫方士,精英,谋士,散播瘟疫的邪道术士，瘟疫+混乱,荆州/益州,39,2,B10→B08→B12→B10,—,森林:瘟疫+1层,6,
E091,白眊将,强力,步兵,蜀汉猛将，山地无畏，相变后连续猛击,益州山地,135,10,A04→B14→C01→B01→C01,HP<40%:C16→C01→C12→C16,山地:攻击+4|护甲+3,10,
E092,都督亲卫,强力,弓兵,统帅水师的东吴大督，相变后火攻风暴,扬州/荆州水域,118,12,C05→B02→C10→B07→C01,HP<40%:C06→B07→C02→C09,水域:攻击+5|护甲+4,8,
E093,幽州突骑帅,强力,骑兵,幽州最强骑兵统帅，相变后全军冲锋,幽州/并州平原,125,10,B14→C01→B01→C09→C01,HP<35%:C09→C01→C12→C07→C01,平原:攻击+5|速度+3,14,
E094,九宫阵法师,强力,谋士,精通布阵的军师，相变后复杂诅咒组合,各州通用,95,8,C10→B08→B12→C10→B13,HP<40%:C11→C08→C14→C11,—,7,
E095,西凉铁骑督,强力,骑兵,凉州最强骑兵督，沙漠天气+狂攻,凉州,118,8,C05→B14→C01→B01→C09,HP<35%:C06→C01→C12→C01→B14,沙漠:攻击+5|速度+4,14,
E096,塞北狼骑,强力,步兵,幽州极北部落首领，雪地天气+全军狂暴,幽州,130,6,C06→A04→B01→C09→C01,HP<30%:C06→C09→C12→C16→C01,雪地:攻击+3|护甲+3,11,
E097,军师将军,强力,谋士,蜀汉体系高级军师，阵法+诅咒组合压制,益州,88,10,B08→C11→B13→C10→C14,HP<45%:C11→C06→C14→B08→C11,山地:护甲+3,7,
E098,巫蛊师,强力,谋士,交州神秘蛊师，瘟疫+分身扰乱,交州/荆州,79,5,B10→C08→B12→B10→C14,HP<40%:C11→C08→B10→C14→C11,森林:瘟疫+2层|毒层+2,7,
E099,铁壁盾将,强力,盾兵,盾兵极致将领，护甲碾压后转爆发,关隘/城池,118,28,B03→C13→C23→B03→C10,HP<30%:C01→C16→B04→C01→C13,关隘:护甲+12,4,
E100,羽林骑中郎将,强力,步兵,绝世猛将，万军中取上将首级,各州通用,177,8,B14→C01→C16→B04→C01,HP<35%:C12→C01→C16→C12→C01,—,13,
